,date,day_estimate_bow,day_estimate_gcs
103,2020-05-10,0.5252345985819872,0.5007996584459515
104,2020-05-11,0.5279017781383263,0.5007448059598157
105,2020-05-12,0.527122398812225,0.5005665315581203
106,2020-05-13,0.5243942119499643,0.5005626757582591
107,2020-05-14,0.5186671049854404,0.5005349129398078
108,2020-05-15,0.5187596831876997,0.5004916326988249
109,2020-05-16,0.5337255204455488,0.50082681189958
110,2020-05-17,0.5363356594045505,0.5009169677866672
111,2020-05-18,0.5633584326009461,0.502800213442196
112,2020-05-19,0.5552820317398389,0.5027700520295826
113,2020-05-20,0.5262740871499572,0.5006327247071225
114,2020-05-21,0.5312461007355213,0.5009856384598914
115,2020-05-22,0.5273575143224933,0.5008459584537376
116,2020-05-23,0.5399534023706839,0.5017820802993341
117,2020-05-24,0.5603722276705443,0.5072559143950264
